id,question_id,positionable_id,positionable_type,score,comment,created_at,updated_at
1,1,1,Candidate,3,There is a shortage of social housing and I am backing plans for new social housing on Edward Street,2014-05-14 21:31:43 UTC,2014-05-14 21:31:43 UTC
2,2,1,Candidate,1,Council built housing is not only the most cost effective method of providing housing to those that need it but it is also the best way of providing the security of a home that families need.,2014-05-14 21:31:43 UTC,2014-05-14 21:31:43 UTC
3,3,1,Candidate,2,,2014-05-14 21:31:43 UTC,2014-05-14 21:31:43 UTC
4,4,1,Candidate,2,This depends on where the housing is located and if there is a demand for housing in that area.,2014-05-14 21:31:43 UTC,2014-05-14 21:31:43 UTC
5,5,1,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
6,6,1,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
7,7,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
8,8,1,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
9,9,1,Candidate,0,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
10,10,1,Candidate,1,It is important that parents have a choice on the patronage. My work on expanding facilities at the Educate Together school in Mungret will increase choice further.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
11,11,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
12,12,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
13,13,1,Candidate,1,This would result in jobs for council workers being lost - a race to the bottom. The reforms current in progress will mean further interventions in helping the long term unemployed find suitable training or employment.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
14,14,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
15,15,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
16,16,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
17,17,1,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
18,18,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
19,19,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
20,20,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
21,21,1,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
22,22,1,Candidate,1,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
23,23,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
24,24,1,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
25,25,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
26,26,1,Candidate,1,Councillors are elected by the communities to represent them directly. Councillors should consult with the community on key decisions.,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
27,27,1,Candidate,3,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
28,1,2,Candidate,3,Sinn Féin is in favour of a significant new investment in Social Housing by local government. All of the other parties have effectively abandoned this principle leading to the worst waiting lists for housing in the history of the State. I am calling on the government to take action urgently on Limerick's social housing crisis,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
29,2,2,Candidate,1,Money would be better spent purchasing and building homes,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
30,3,2,Candidate,2,,2014-05-14 21:31:44 UTC,2014-05-14 21:31:44 UTC
