id,constituency_id,event_id,created_at,updated_at
119,5,1,2014-05-06 10:45:44 UTC,2014-05-06 10:45:44 UTC
1,1,1,2014-05-05 14:22:45 UTC,2014-05-05 14:23:35 UTC
2,5,1,2014-05-05 17:00:05 UTC,2014-05-05 17:00:05 UTC
3,1,1,2014-05-05 17:08:10 UTC,2014-05-05 17:08:10 UTC
4,1,1,2014-05-05 17:08:14 UTC,2014-05-05 17:08:14 UTC
5,1,1,2014-05-05 17:42:05 UTC,2014-05-05 17:42:05 UTC
6,1,1,2014-05-05 19:34:03 UTC,2014-05-05 19:34:03 UTC
7,1,1,2014-05-05 19:47:06 UTC,2014-05-05 19:47:06 UTC
8,1,1,2014-05-05 20:08:24 UTC,2014-05-05 20:08:24 UTC
9,7,1,2014-05-05 21:30:22 UTC,2014-05-05 21:30:22 UTC
10,7,1,2014-05-05 21:35:52 UTC,2014-05-05 21:35:52 UTC
11,1,1,2014-05-05 21:36:12 UTC,2014-05-05 21:36:12 UTC
12,7,1,2014-05-05 21:38:37 UTC,2014-05-05 21:38:37 UTC
13,7,1,2014-05-05 21:54:16 UTC,2014-05-05 21:54:16 UTC
14,7,1,2014-05-05 22:31:30 UTC,2014-05-05 22:31:30 UTC
15,1,1,2014-05-05 22:34:47 UTC,2014-05-05 22:34:47 UTC
16,1,1,2014-05-05 22:45:29 UTC,2014-05-05 22:45:29 UTC
17,2,1,2014-05-05 22:55:35 UTC,2014-05-05 22:55:35 UTC
18,1,1,2014-05-05 22:56:44 UTC,2014-05-05 22:56:44 UTC
19,1,1,2014-05-05 22:56:44 UTC,2014-05-05 22:56:44 UTC
20,2,1,2014-05-05 23:55:37 UTC,2014-05-05 23:55:37 UTC
21,1,1,2014-05-06 06:29:44 UTC,2014-05-06 06:29:44 UTC
22,6,1,2014-05-06 08:12:21 UTC,2014-05-06 08:12:21 UTC
23,6,1,2014-05-06 08:18:22 UTC,2014-05-06 08:18:22 UTC
24,6,1,2014-05-06 08:19:50 UTC,2014-05-06 08:19:50 UTC
25,6,1,2014-05-06 08:21:14 UTC,2014-05-06 08:21:14 UTC
26,1,1,2014-05-06 08:25:39 UTC,2014-05-06 08:25:39 UTC
27,6,1,2014-05-06 08:26:18 UTC,2014-05-06 08:26:18 UTC
28,2,1,2014-05-06 08:43:00 UTC,2014-05-06 08:43:00 UTC
29,1,1,2014-05-06 09:18:56 UTC,2014-05-06 09:18:56 UTC
30,1,1,2014-05-06 09:20:42 UTC,2014-05-06 09:20:42 UTC
31,1,1,2014-05-06 09:20:46 UTC,2014-05-06 09:20:46 UTC
32,6,1,2014-05-06 09:21:04 UTC,2014-05-06 09:21:04 UTC
33,5,1,2014-05-06 09:21:08 UTC,2014-05-06 09:21:08 UTC
34,1,1,2014-05-06 09:21:22 UTC,2014-05-06 09:21:22 UTC
35,5,1,2014-05-06 09:21:32 UTC,2014-05-06 09:21:32 UTC
36,2,1,2014-05-06 09:22:28 UTC,2014-05-06 09:22:28 UTC
37,5,1,2014-05-06 09:22:43 UTC,2014-05-06 09:22:43 UTC
38,1,1,2014-05-06 09:23:06 UTC,2014-05-06 09:23:06 UTC
39,1,1,2014-05-06 09:23:16 UTC,2014-05-06 09:23:16 UTC
40,1,1,2014-05-06 09:23:19 UTC,2014-05-06 09:23:19 UTC
41,5,1,2014-05-06 09:23:42 UTC,2014-05-06 09:23:42 UTC
42,5,1,2014-05-06 09:24:49 UTC,2014-05-06 09:24:49 UTC
43,6,1,2014-05-06 09:26:31 UTC,2014-05-06 09:26:31 UTC
44,7,1,2014-05-06 09:26:47 UTC,2014-05-06 09:26:47 UTC
45,1,1,2014-05-06 09:27:21 UTC,2014-05-06 09:27:21 UTC
46,1,1,2014-05-06 09:27:38 UTC,2014-05-06 09:27:38 UTC
47,1,1,2014-05-06 09:27:57 UTC,2014-05-06 09:28:53 UTC
48,1,1,2014-05-06 09:28:57 UTC,2014-05-06 09:28:57 UTC
49,4,1,2014-05-06 09:29:47 UTC,2014-05-06 09:29:47 UTC
120,1,1,2014-05-06 10:48:01 UTC,2014-05-06 10:48:01 UTC
51,1,1,2014-05-06 09:31:02 UTC,2014-05-06 09:31:02 UTC
52,5,1,2014-05-06 09:31:19 UTC,2014-05-06 09:31:19 UTC
53,6,1,2014-05-06 09:31:21 UTC,2014-05-06 09:31:21 UTC
50,5,1,2014-05-06 09:30:10 UTC,2014-05-06 09:31:27 UTC
54,2,1,2014-05-06 09:31:44 UTC,2014-05-06 09:31:44 UTC
55,1,1,2014-05-06 09:31:54 UTC,2014-05-06 09:31:54 UTC
56,1,1,2014-05-06 09:32:30 UTC,2014-05-06 09:32:30 UTC
57,1,1,2014-05-06 09:32:33 UTC,2014-05-06 09:32:33 UTC
58,5,1,2014-05-06 09:33:05 UTC,2014-05-06 09:33:05 UTC
59,1,1,2014-05-06 09:34:15 UTC,2014-05-06 09:34:15 UTC
60,1,1,2014-05-06 09:34:53 UTC,2014-05-06 09:34:53 UTC
61,5,1,2014-05-06 09:35:05 UTC,2014-05-06 09:35:05 UTC
62,1,1,2014-05-06 09:35:07 UTC,2014-05-06 09:35:07 UTC
63,1,1,2014-05-06 09:35:43 UTC,2014-05-06 09:35:43 UTC
64,5,1,2014-05-06 09:36:07 UTC,2014-05-06 09:36:07 UTC
65,1,1,2014-05-06 09:36:40 UTC,2014-05-06 09:36:40 UTC
66,5,1,2014-05-06 09:40:07 UTC,2014-05-06 09:40:07 UTC
67,5,1,2014-05-06 09:40:10 UTC,2014-05-06 09:40:10 UTC
68,6,1,2014-05-06 09:41:19 UTC,2014-05-06 09:41:19 UTC
69,6,1,2014-05-06 09:44:41 UTC,2014-05-06 09:44:41 UTC
70,5,1,2014-05-06 09:44:58 UTC,2014-05-06 09:44:58 UTC
71,5,1,2014-05-06 09:45:16 UTC,2014-05-06 09:45:16 UTC
72,1,1,2014-05-06 09:45:24 UTC,2014-05-06 09:45:24 UTC
73,1,1,2014-05-06 09:45:30 UTC,2014-05-06 09:45:30 UTC
74,7,1,2014-05-06 09:47:01 UTC,2014-05-06 09:47:01 UTC
75,1,1,2014-05-06 09:47:21 UTC,2014-05-06 09:47:21 UTC
76,6,1,2014-05-06 09:47:32 UTC,2014-05-06 09:47:32 UTC
77,7,1,2014-05-06 09:47:56 UTC,2014-05-06 09:47:56 UTC
78,2,1,2014-05-06 09:48:17 UTC,2014-05-06 09:48:17 UTC
79,2,1,2014-05-06 09:48:42 UTC,2014-05-06 09:48:42 UTC
80,1,1,2014-05-06 09:48:54 UTC,2014-05-06 09:48:54 UTC
81,5,1,2014-05-06 09:49:08 UTC,2014-05-06 09:49:08 UTC
82,3,1,2014-05-06 09:49:31 UTC,2014-05-06 09:49:31 UTC
83,6,1,2014-05-06 09:49:58 UTC,2014-05-06 09:49:58 UTC
84,3,1,2014-05-06 09:50:04 UTC,2014-05-06 09:50:04 UTC
85,2,1,2014-05-06 09:51:13 UTC,2014-05-06 09:51:13 UTC
86,7,1,2014-05-06 09:51:49 UTC,2014-05-06 09:51:49 UTC
87,7,1,2014-05-06 09:52:22 UTC,2014-05-06 09:52:22 UTC
88,5,1,2014-05-06 09:53:05 UTC,2014-05-06 09:53:05 UTC
89,3,1,2014-05-06 09:54:09 UTC,2014-05-06 09:54:09 UTC
